Timestamp, gyro_x, gyro_y, gyro_z, acc_x, acc_y, acc_z, mag_qw, mag_qx, mag_qy, ss_qx, ss_qy, ss_qz, ss_qw, stillness
400, -0.004886778, 0.01099525, -0.001221695, -0.01806641, 1.010498, 0.01416016, -0.03574422, -0.2566629, 0.2363198, -4.998222E-05, 2.923142E-05, 0.0001986201, 1, 0.9976507
410, 0.003665083, 0.01954711, -0.002443389, -0.01196289, 1.009033, 0.004394531, -0.03578144, -0.2566125, 0.2362725, -3.659102E-05, 2.404438E-05, 0.0002124681, 0.9999999, 0.9978172
417, -0.007330167, -0.002443389, -0.004886778, -0.01196289, 1.010986, 0.004150391, -0.03577205, -0.2565814, 0.2362446, 2.124702E-05, 5.031461E-05, 0.000189847, 1, 0.9975677
428, -0.006108472, 0.0219905, 0.009773556, -0.009765625, 1.013428, 0.01123047, -0.03571743, -0.2565691, 0.2362353, 2.820342E-05, 4.730382E-05, 0.0001717554, 1, 0.9938634
437, -0.01221694, 0.01221694, 0, -0.01269531, 1.008545, 0.01269531, -0.03570042, -0.2565571, 0.2362628, 4.547241E-05, 6.298254E-05, 0.0001832001, 1, 0.9938634
450, -0.01588203, 0.007330167, 0.006108472, -0.01220703, 1.01123, 0.007324219, -0.03568374, -0.2565453, 0.236253, 3.738957E-05, 5.51065E-06, 0.0001731794, 1, 0.9935098
460, -0.01221694, 0.01343864, 0.006108472, -0.01269531, 1.013184, 0.01220703, -0.03565017, -0.2565739, 0.2361569, 4.417723E-05, -2.373944E-05, 0.0001746048, 1, 0.9937768
470, -0.01221694, 0.0219905, 0.003665083, -0.01416016, 1.010742, 0.01220703, -0.03561623, -0.256653, 0.2360581, 1.85222E-05, -1.505636E-05, 0.0001951724, 1, 0.9925568
478, 0, 0.01221694, 0.01221694, -0.01708984, 1.010986, 0.01074219, -0.03561949, -0.2566576, 0.2360891, -9.640004E-06, 2.801468E-05, 0.0001879402, 1, 0.9927474
487, -0.01221694, 0.01343864, 0, -0.01708984, 1.010254, 0.007324219, -0.03561351, -0.2566712, 0.2360919, -3.079418E-06, 1.01469E-05, 0.000167551, 1, 0.9966297
507, -0.006108472, 0.009773556, -0.006108472, -0.0168457, 1.010498, 0.01171875, -0.03559856, -0.2566937, 0.2360674, -1.745962E-05, 1.350546E-05, 0.0001475395, 1, 0.9969079
511, -0.003665083, 0.02443389, 0.002443389, -0.01538086, 1.013184, 0.009277344, -0.03556565, -0.2566974, 0.2360434, -2.635014E-05, 5.551238E-05, 0.0001587871, 1, 0.9940347
519, -0.01099525, 0.007330167, 0.001221695, -0.01367188, 1.014893, 0.005371094, -0.03551751, -0.2566846, 0.2360266, 7.516006E-06, 4.783798E-05, 0.0001785456, 1, 0.9879363
529, -0.01221694, 0.0219905, 0, -0.0144043, 1.010986, 0.008300781, -0.03546796, -0.2567068, 0.2360217, -2.289249E-06, 4.286859E-05, 0.0001467471, 1, 0.9873807
539, 0, 0.006108472, -0.001221695, -0.01513672, 1.011475, 0.01220703, -0.03542856, -0.2567285, 0.2360077, -1.789944E-05, 7.279225E-05, 0.0001811308, 1, 0.9896224
546, -0.01099525, 0.01710372, 0.001221695, -0.01513672, 1.010254, 0.008789063, -0.03539904, -0.2567498, 0.2359849, 7.956987E-06, 3.434361E-05, 0.0001723984, 1, 0.9957467
557, -0.02687728, 0.02565558, 0.007330167, -0.01782227, 1.009521, 0.006103516, -0.03542487, -0.2567525, 0.2359626, -5.54166E-06, 5.979779E-05, 0.0001981335, 1, 0.9972439
570, -0.008551861, 0.009773556, 0.008551861, -0.0168457, 1.014404, 0.005371094, -0.03545019, -0.2567642, 0.2359682, -7.182389E-05, 7.984022E-05, 0.0002306316, 1, 0.9933815
578, -0.01710372, 0.02076881, 0.003665083, -0.01245117, 1.01001, 0.008300781, -0.03546888, -0.2568133, 0.2360171, -8.384342E-05, 8.200429E-05, 0.00021739, 1, 0.9937615
590, -0.01221694, 0.01221694, 0, -0.01245117, 1.013428, 0.007324219, -0.03545681, -0.2568693, 0.2360489, -0.0001093383, 7.357773E-05, 0.0002113662, 1, 0.9890541
598, -0.003665083, 0.004886778, 0.006108472, -0.01416016, 1.010986, 0.009277344, -0.03549975, -0.2568696, 0.2360618, -0.0001185372, 6.449477E-05, 0.0002187138, 1, 0.9936278
607, -0.01710372, 0.01466033, 0.001221695, -0.01367188, 1.008545, 0.0078125, -0.03555101, -0.2568698, 0.2360744, -0.0001379134, 2.386766E-05, 0.0002110216, 1, 0.9937884
618, 0.001221695, 0.006108472, -0.006108472, -0.01074219, 1.01123, 0.006835938, -0.03561034, -0.2568701, 0.2360868, -0.0001094407, -6.052898E-06, 0.0002045936, 1, 0.9967484
631, -0.01221694, 0.01343864, 0.002443389, -0.01489258, 1.01123, 0.01074219, -0.03559545, -0.2568338, 0.2360807, -0.0001246092, -2.873086E-05, 0.0002239569, 1, 0.9963897
641, -0.006108472, 0.006108472, -0.001221695, -0.01367188, 1.01123, 0.007324219, -0.03557368, -0.2568355, 0.2360718, -0.0001448888, 5.550057E-06, 0.0002598057, 0.9999999, 0.9926587
649, -0.01466033, -0.001221695, 0.002443389, -0.01318359, 1.011719, 0.008789063, -0.03557787, -0.2568546, 0.236066, -0.0001518447, 4.660702E-06, 0.0002674239, 1, 0.991949
657, -0.008551861, 0.008551861, 0.006108472, -0.01220703, 1.011719, 0.01025391, -0.03560014, -0.2568734, 0.2360603, -0.0001742467, -2.215691E-05, 0.0002421989, 0.9999999, 0.9913526
667, -0.01710372, 0.001221695, 0.001221695, -0.01074219, 1.011719, 0.009765625, -0.03558546, -0.2568736, 0.2360182, -0.0001641928, -3.127821E-05, 0.0002492062, 1, 0.9926531
677, -0.01221694, 0.007330167, 0, -0.01049805, 1.010254, 0.0078125, -0.03558933, -0.2568555, 0.2360317, -0.0001686465, -5.470862E-05, 0.0002341034, 1, 0.9946587
691, -0.009773556, 0.0219905, 0.003665083, -0.01123047, 1.010742, 0.004638672, -0.03559313, -0.256847, 0.236045, -0.0001998998, -6.3977E-05, 0.0002251859, 1, 0.996031
699, -0.0219905, 0.01099525, -0.001221695, -0.01049805, 1.011719, 0.0078125, -0.03558033, -0.2568572, 0.2360552, -0.0002595097, -2.128108E-05, 0.0002273825, 1, 0.9960571
708, 0.007330167, 0.01343864, -0.007330167, -0.009765625, 1.010254, 0.007324219, -0.03554779, -0.2568759, 0.2360497, -0.000314281, -1.178113E-05, 0.000220793, 1, 0.9960718
718, -0.008551861, 0.009773556, 0.006108472, -0.01049805, 1.013428, 0.0078125, -0.03551589, -0.2569125, 0.2360808, -0.0002520494, -3.062002E-05, 0.0002087085, 1, 0.9924757
